 ,WEEK,WEIGHT,STATE,ETRO,REGION,DIVISION,OWNHOME,MARITAL,EMPLOY,HHNUM,ADULTS,KIDS1217,KIDS611,KIDS06,PARENT,AGE,AGE2,EDUC2,EDUC,INCOME,RACE,PARTYROT,PARTY,IDEOROT,IDEO,REGIST,C3A,SEX,IDENT,L1,C1,C1A,USBORN,USLIVE,RELIG,RELIGOPEN,DENOM,DENOMOPEN,BORN,JEWID,SECULAR,JDENOM,YEAR,DEMH1,DEMNHV,DATE,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q6,Q7,Q8,I_EMPLOY,I_MARITAL,I_RACE
90000206,849,0.8653,OH,3,2,3,1,3,1,2,2,,,,2,63,,5,3,5,1,1,1,2,1,1,,2,2,,2,2,,,15,,2,,1,,,,16,1,1,161208,2,2,2,2,1,0,0,0,0,0,0,0,1,1,2,1,3,1
90000207,849,0.4554,VA,,3,5,1,1,1,1,1,,,,2,26,,6,4,4,1,1,1,1,1,1,0,1,2,,1,2,,,22,,1,,1,,,,16,1,1,161208,1,3,2,2,1,0,0,0,0,0,0,0,1,1,2,1,1,1
90000208,849,1.0459,NC,5,3,5,1,6,3,1,1,,,,2,62,,3,2,4,1,1,2,1,5,1,,1,2,,2,1,,,90,,,,,2,2,,16,1,1,161208,1,2,2,2,1,0,0,0,0,0,0,0,2,2,2,3,4,1
90000209,849,1.1151,NY,,1,2,2,6,7,2,2,,,,2,60,,3,2,1,1,1,1,2,3,1,,2,2,,2,2,,,2,,,,,,,,16,2,,161208,1,2,2,2,1,0,0,0,0,0,0,0,1,1,2,6,4,1
90000212,849,0.9798,AZ,,4,8,1,3,1,9,9,,,,2,35,,99,9,99,99,1,9,2,9,9,,1,2,,2,2,,,99,,,,,,,,16,1,3,161208,1,2,1,2,1,0,0,0,0,0,0,0,1,3,9,1,3,
90000213,849,2.5275,PA,3,1,2,1,3,1,3,2,0,0,1,1,34,,6,4,12,1,2,2,2,5,1,,2,2,,2,1,,,90,,,,,2,2,,16,1,1,161208,1,2,2,2,1,0,0,0,0,0,0,0,3,2,1,1,3,1
90000216,849,0.6994,OK,2,3,7,1,3,4,3,2,1,0,0,1,63,,6,4,15,1,1,2,1,4,1,1,1,2,,1,1,,,22,,1,,2,,,,16,1,1,161208,1,2,2,2,1,0,0,0,0,0,0,0,1,1,2,4,3,1
90000218,849,1.4879,WI,1,2,3,2,1,5,1,1,,,,2,24,,4,3,1,1,2,3,2,4,1,,2,2,,2,1,,,97,PAGAN,,,,,,,16,2,,161208,1,1,1,1,0,0,0,1,0,0,0,0,,3,1,5,1,1
90000219,849,1.4649,OK,2,3,7,1,3,4,5,2,0,3,0,1,42,,4,3,15,10,2,3,1,3,1,1,2,2,,1,1,,,15,,13,,1,,,,16,1,1,161208,1,2,2,2,1,0,0,0,0,0,0,0,1,3,2,4,3,5
90000220,849,0.546,NY,,1,2,2,3,1,8,4,2,4,4,1,27,,8,5,1,1,1,2,2,1,2,4,1,2,,1,7,,,90,,,,,2,2,,16,1,2,161208,1,1,2,2,1,1,1,1,1,1,0,0,3,3,1,1,3,1
